AO * CO ; OCOO

AO * CA ; OCAO

AO * CB ; OCBO

AO * CC ; OCCO

AO * CD ; OCDO

AO * CE ; OCEO

AO * CS ; OCSO

AO * CG ; OCGO

AO * CH ; OCHO

AO * CN ; OCNO

AO * DO ; ODOO

AO * DA ; ODAO

AO * DB ; ODBO

AO * DC ; ODCO

AO * DD ; ODDO

AO * DE ; ODEO

AO * DS ; ODSO

AO * DG ; ODGO

AO * DH ; ODHO

AO * DN ; ODNO

AO * EO ; OEOO

AO * EA ; OEAO

AO * EB ; OEBO

AO * EC ; OECO

AO * ED ; OEDO

AO * EE ; OEEO

AO * ES ; OESO

AO * EG ; OEGO

AO * EH ; OEHO

AO * EN ; OENO

AO * SO ; OSOO

AO * SA ; OSAO

AO * SB ; OSBO

AO * SC ; OSCO

AO * SD ; OSDO

AO * SE ; OSEO

AO * SS ; OSSO

AO * SG ; OSGO

AO * SH ; OSHO

AO * SN ; OSNO

AO * GO ; OGOO

AO * GA ; OGAO

AO * GB ; OGBO

AO * GC ; OGCO

AO * GD ; OGDO

AO * GE ; OGEO

AO * GS ; OGSO

AO * GG ; OGGO

AO * GH ; OGHO

AO * GN ; OGNO

AO * HO ; OHOO

AO * HA ; OHAO

AO * HB ; OHBO

AO * HC ; OHCO

AO * HD ; OHDO

AO * HE ; OHEO

AO * HS ; OHSO

AO * HG ; OHGO

AO * HH ; OHHO

AO * HN ; OHNO

AO * NO ; ONOO

AO * NA ; ONAO

AO * NB ; ONBO

AO * NC ; ONCO

AO * ND ; ONDO

AO * NE ; ONEO

AO * NS ; ONSO

AO * NG ; ONGO

AO * NH ; ONHO

AA * OA ; OOAA

AA * OB ; OOBB

AA * OC ; OOCC

AA * OD ; OODD

AA * OE ; OOEE

AA * OS ; OOSS

AA * OG ; OOGG

AA * OH ; OOHH

AA * ON ; OONN

AA * AO ; OAAO

AA * AA ; OABA

AA * AB ; OACB

AA * AC ; OADC

AA * AD ; OAED

AA * AE ; OASE

AA * AS ; OAGS

AA * AG ; OAHG

AA * AH ; OANH

AA * AN ; OBON

AA * BO ; OBBO

AA * BA ; OBCA

AA * BB ; OBDB

AA * BC ; OBEC

AA * BD ; OBSD

AA * BE ; OBGE

AA * BS ; OBHS

AA * BG ; OBNG

AA * BH ; OCOH

AA * BN ; OCAN

AA * CO ; OCCO

AA * CA ; OCDA

AA * CB ; OCEB

AA * CC ; OCSC

AA * CD ; OCGD

AA * CE ; OCHE

AA * CS ; OCNS

AA * CG ; ODOG

AA * CH ; ODAH

AA * CN ; ODBN

AA * DO ; ODDO

AA * DA ; ODEA

AA * DB ; ODSB

AA * DC ; ODGC

AA * DD ; ODHD

AA * DE ; ODNE

AA * DS ; OEOS

AA * DG ; OEAG

AA * DH ; OEBH

AA * DN ; OECN

AA * EO ; OEEO

AA * EA ; OESA

AA * EB ; OEGB

AA * EC ; OEHC

AA * ED ; OEND

AA * EE ; OSOE

AA * ES ; OSAS

AA * EG ; OSBG

AA * EH ; OSCH

AA * EN ; OSDN

AA * SO ; OSSO

AA * SA ; OSGA

AA * SB ; OSHB

AA * SC ; OSNC

AA * SD ; OGOD

AA * SE ; OGAE

AA * SS ; OGBS

AA * SG ; OGCG

AA * SH ; OGDH

AA * SN ; OGEN

AA * GO ; OGGO

AA * GA ; OGHA

AA * GB ; OGNB

AA * GC ; OHOC

AA * GD ; OHAD

AA * GE ; OHBE

AA * GS ; OHCS

AA * GG ; OHDG

AA * GH ; OHEH

AA * GN ; OHSN

AA * HO ; OHHO

AA * HA ; OHNA

AA * HB ; ONOB

AA * HC ; ONAC

AA * HD ; ONBD

AA * HE ; ONCE

AA * HS ; ONDS

AA * HG ; ONEG

AA * HH ; ONSH

AA * HN ; ONGN

AA * NO ; ONNO

AA * NA ; AOOA

AA * NB ; AOAB

AA * NC ; AOBC

AA * ND ; AOCD

AA * NE ; AODE

AA * NS ; AOES

AA * NG ; AOSG

AA * NH ; AOGH

AB * OA ; OOAB

AB * OB ; OOBD

AB * OC ; OOCS

AB * OD ; OODH

AB * OE ; OOSO

AB * OS ; OOGB

AB * OG ; OOHD

AB * OH ; OONS

AB * ON ; OAOH

AB * AO ; OABO

AB * AA ; OACB

AB * AB ; OADD

AB * AC ; OAES

AB * AD ; OASH

AB * AE ; OAHO

AB * AS ; OANB

